Epoch,Train Loss,Val Loss,Learning Rate,RMSE,MAE,R2
1,0.02753674529735754,0.010946021946871429,0.0095005,10526.399284206731,7881.395648592868,0.40886879657251507
2,0.0068139854273654545,0.0070993735468503,0.009001,8477.380884536156,5939.050030644188,0.616603981912319
3,0.005293410549418331,0.006044916110736042,0.0085015,7822.5225067438305,5467.149142646371,0.6735491165190918
4,0.00436792382058042,0.0049042105019987,0.008002,7045.896084218513,4738.857939999687,0.7351520150444428
5,0.0032178460804393946,0.003942843253567544,0.0075025000000000005,6317.662745388482,3973.5559794974192,0.787069888154802
6,0.0025428473069172178,0.00365342137149399,0.007003,6081.371923171606,3709.517750441358,0.8026998865486283
7,0.0023281296728592717,0.0036607165827394323,0.0065035,6087.440586389173,3729.7080655766576,0.8023059144714935
8,0.002237080060761923,0.0036692367344479376,0.006004,6094.5205900329665,3764.403895068127,0.8018457904595667
9,0.002184360706993711,0.003671540924874529,0.0055045,6096.433894222879,3765.310566065719,0.8017213544894571
10,0.002142951401170656,0.0036785492882952272,0.005005,6102.249661415153,3764.173651545945,0.8013428734007984
11,0.0020987129498947423,0.0036398964930133893,0.0045055,6070.104939319337,3724.462322763408,0.8034302868466776
12,0.0020564459255829307,0.003580618780588739,0.004005999999999999,6020.474549845096,3662.1849528383614,0.8066315325277197
13,0.002027572058299026,0.0035478603569366954,0.003506499999999999,5992.871162192164,3624.5395495787166,0.8084006251249947
14,0.002004174177332277,0.003565718898989756,0.0030069999999999993,6007.935114778035,3657.5528854275653,0.8074361887748278
15,0.001991348135587917,0.003590197777809822,0.0025074999999999993,6028.522263626512,3688.8319701442324,0.806114226406609
16,0.0019834965292431467,0.0035166951782119047,0.0020079999999999994,5966.491760511669,3607.674083996416,0.8100836757980187
17,0.0019648850741531233,0.0034320200725106212,0.0015084999999999994,5894.223394431268,3500.135310384924,0.8146564874894711
18,0.0019353501670191717,0.00342977811535724,0.0010089999999999995,5892.297887757662,3489.0510294329965,0.8147775626011916
19,0.0019188374262300654,0.003416570454920213,0.0005094999999999995,5880.941681339584,3462.9354647489563,0.8154908317912677
20,0.001905264300259062,0.0034169582024163305,1e-05,5881.275386695138,3463.3866439307776,0.8154698917963437
20,0.001905264300259062,0.0034169582024163305,1e-05,5881.275386695138,3463.3866439307776,0.8154698917963437
