Epoch,Train Loss,Val Loss,Learning Rate,RMSE,MAE,R2
1,0.040643084892902255,0.01401765707130361,0.0095005,10609.771217027064,7941.212326169543,0.394296722726984
2,0.010465422575845186,0.008274626889193051,0.009001,8151.593486340403,6081.680543612919,0.6424531860423408
3,0.00750965855378941,0.007370471060728841,0.0085015,7693.357716380835,5556.9809559843525,0.6815217797224788
4,0.006936270447979573,0.0069440243809882375,0.008002,7467.47748839864,5327.767026989255,0.6999485503437874
5,0.006573789125534683,0.006198633111430075,0.0075025000000000005,7055.312740212691,4988.5025952259775,0.732156923863378
6,0.005649052301253447,0.005253653642895071,0.007003,6495.297123292368,4484.520170758667,0.7729895079489965
7,0.0047572041020525315,0.0043891304432958,0.0065035,5936.8701139320165,3971.9579034805624,0.8103455748446415
8,0.0041115712418772175,0.0038793454368341576,0.006004,5581.4563170055,3651.175233780695,0.8323733964376365
9,0.0037366967371105023,0.0036678184138879276,0.0055045,5427.154894410282,3486.2120384254204,0.841513483855856
10,0.0035365975107436343,0.003553408642708642,0.005005,5341.84006031138,3376.0850576783155,0.846457132641302
11,0.0034327487662283874,0.003492240881568484,0.0045055,5295.663724878993,3332.4756960948375,0.8491001929756778
12,0.0033432225072229215,0.0034566895945382877,0.004005999999999999,5268.639635347843,3300.7345345969875,0.850636364887712
13,0.0032612084017613033,0.003454584036557683,0.003506499999999999,5267.034759387078,3262.2859752748,0.8507273460954027
14,0.0032074526858836988,0.003469965421582162,0.0030069999999999993,5278.747357888949,3229.162438775159,0.8500627161026061
15,0.0031693307178675247,0.003483404192067115,0.0025074999999999993,5288.959465619766,3213.056304671928,0.8494820265277471
16,0.0031434865539537167,0.0033728280964180016,0.0020079999999999994,5204.336952819011,3149.196076457212,0.8542600221073248
17,0.0030913105238230564,0.003312731606666064,0.0015084999999999994,5157.7635562295245,3134.4032544652805,0.8568567927809254
18,0.0030490699758577594,0.003301131184319079,0.0010089999999999995,5148.7249871098,3128.4757829573523,0.8573580472914031
19,0.0030356317732688136,0.0032866141393453788,0.0005094999999999995,5137.391504282575,3145.3118551360994,0.8579853291311685
20,0.003015862035284733,0.0032863207098436722,1e-05,5137.162165544682,3148.6290676731564,0.8579980082265359
20,0.003015862035284733,0.0032863207098436722,1e-05,5137.162165544682,3148.6290676731564,0.8579980082265359
