Epoch,Train Loss,Val Loss,Learning Rate,RMSE,MAE,R2
1,0.12401528170526813,0.04714942600763645,0.09900010000000001,12243.948825798707,9576.08647318885,-0.1357763812938826
2,0.049385654588570964,0.040850834881908625,0.09800020000000001,11396.822099485556,8539.87653927003,0.0159495598632865
3,0.04688545635648969,0.040618763805710396,0.09700030000000001,11364.403670031894,8566.993814860038,0.021539889787657418
4,0.046666766484276694,0.04049646541682126,0.0960004,11347.282321729728,8563.581189667842,0.024485919746708662
5,0.04648174631271787,0.04034870969512535,0.0950005,11326.562513156163,8549.993795872047,0.028045188079605432
6,0.04630270998800556,0.040210561478983484,0.0940006,11307.15562157063,8532.331349069082,0.03137302246270923
7,0.046122117685606104,0.040044771419583215,0.0930007,11283.821574400437,8511.573764768304,0.03536671760736787
8,0.045925482579016096,0.0398939730051632,0.09200080000000001,11262.55553520826,8495.163690988786,0.03899928096894656
9,0.045749605463927,0.039738428676012266,0.09100090000000001,11240.578060689782,8476.55983616553,0.042746168052264055
10,0.04557069605714176,0.039590221513176975,0.090001,11219.59723123182,8457.64492906401,0.04631631109196144
11,0.045394089080174095,0.039427966642491125,0.0890011,11196.58266781553,8434.643648986399,0.05022484753618106
12,0.04521545022686616,0.0392682558399002,0.0880012,11173.88266685568,8415.855308911105,0.0540721002554585
13,0.04503591022110186,0.03910720436012634,0.0870013,11150.945319061484,8395.464357629422,0.05795164837275579
14,0.04483937202188132,0.03892101655797247,0.0860014,11124.369051656242,8370.872771060562,0.062436702085544415
15,0.04461149586801775,0.03870572811317023,0.08500150000000001,11093.559615246773,8341.419013013572,0.0676227573883652
16,0.04437391573274724,0.03848174931510679,0.08400160000000001,11061.41544305862,8311.568690093922,0.07301815347886831
17,0.04405341122045706,0.037997104361575704,0.0830017,10991.540174030155,8255.916865577707,0.08469270263339512
18,0.04353131877153452,0.03750009367348815,0.0820018,10919.417641708505,8183.712272769046,0.09666512835686047
19,0.04312339989966639,0.03726747741974585,0.0810019,10885.49792242616,8155.553122885413,0.10226859099207486
20,0.042855192177469484,0.036941283959944976,0.080002,10837.754119415975,8123.817436959045,0.11012622275442874
21,0.0425049286980731,0.03656490776045632,0.0790021,10782.402552789323,8069.187220570111,0.11919269999619064
22,0.042098244908219416,0.03615494469891419,0.0780022,10721.786414998516,8016.448869764073,0.12906824678284845
23,0.04163936133569669,0.03568751466049039,0.0770023,10652.25250941613,7958.062195280644,0.14032810808981444
24,0.04111411396315179,0.03519130623989855,0.0760024,10577.937446225087,7902.875120004385,0.1522812080960808
25,0.04064237976968381,0.03470707005845419,0.0750025,10504.90857284076,7848.661703814798,0.1639459103930586
26,0.04011579176023598,0.034195286191257716,0.0740026,10427.16923219775,7787.332168343063,0.17627420530368698
27,0.03956214677769948,0.03363861885271965,0.0730027,10341.948690599216,7722.666760244743,0.18968369230882798
28,0.03898729752639908,0.033088006127351806,0.0720028,10256.958527174202,7654.332727552898,0.202947330526001
29,0.038378875449640186,0.0324921175025732,0.07100290000000001,10164.179083375506,7580.2608952522905,0.21730161398632608
30,0.0377457175430925,0.031872089308576185,0.070003,10066.733408399423,7501.970161999599,0.23223739238507157
31,0.037096131697398914,0.03121581967650417,0.0690031,9962.55363238273,7421.445917747233,0.24804618606470386
32,0.03642913188126394,0.030573309773769656,0.0680032,9859.49177609033,7339.840837028263,0.2635235234167025
33,0.035731243647271586,0.029913764989737714,0.0670033,9752.564683871287,7256.285100870194,0.2794112118052682
34,0.035039267225236065,0.029225340015362915,0.06600339999999999,9639.690427336473,7167.4173095567085,0.2959945913369957
35,0.03434087605444269,0.028534564957525408,0.06500349999999999,9525.086505254383,7081.726504591615,0.3126345817231285
36,0.03363148056428789,0.027834735739052357,0.0640036,9407.556861977655,6999.947374549675,0.32949267660539316
37,0.03292641287591298,0.027159662480650427,0.0630037,9292.776349067903,6919.703902766789,0.3457544283902789
38,0.032249764232683026,0.026451091299205004,0.0620038,9170.75514250931,6831.21525963158,0.36282310727983447
39,0.03156953934158814,0.025770301488602456,0.0610039,9051.96884347894,6747.701776914178,0.3792225643460283
40,0.030906041809165476,0.025112734654181592,0.060004,8935.735491662128,6666.376895497839,0.3950626061640652
41,0.0302416579581135,0.02442782491111712,0.0590041,8813.039162327097,6579.827278638003,0.41156130774666133
42,0.029605864542277448,0.023771141953809614,0.0580042,8693.773544780392,6493.190590108827,0.42738005796405065
43,0.028983577401718502,0.02313222836823143,0.0570043,8576.143442576455,6407.471798087185,0.44277076410053606
44,0.028378615143448197,0.022507523504985957,0.056004399999999996,8459.54796005795,6321.052873151185,0.4578191981756128
45,0.027801491834411843,0.021921511088583402,0.0550045,8348.694021568681,6240.792545769825,0.4719355749388674
46,0.027242586676180947,0.021350976131045925,0.0540046,8239.33513726561,6166.283164520365,0.4856791172116537
47,0.026699891058857755,0.02076348615499465,0.053004699999999995,8125.188348368166,6087.05070952996,0.4998310867168153
48,0.02621089931873387,0.020236907280843326,0.0520048,8021.4960077992755,6023.110098686607,0.512515776622744
49,0.025731784559446504,0.01973253949298539,0.0510049,7920.904754037144,5960.784736843117,0.5246654265642239
50,0.025282248770561407,0.01924106289732875,0.050004999999999994,7821.640129860534,5892.15298957841,0.536504542256006
51,0.02486809968443784,0.018812545528860244,0.049005099999999996,7734.0519111821,5835.1473187336,0.5468270413252825
52,0.024473856878515984,0.018357197172694396,0.0480052,7639.879119238474,5767.161650297949,0.5577958685621273
53,0.024114573278338505,0.017999158466780733,0.04700529999999999,7565.008163796146,5723.965471670333,0.5664206163098496
54,0.0237739850402237,0.017597789304686584,0.046005399999999995,7480.1853205017,5670.888688665348,0.5760891457721684
55,0.023463544770906113,0.017237080919602528,0.0450055,7403.126339185714,5626.661666940967,0.5847782030736672
56,0.023172215500778484,0.016916983285316465,0.04400559999999999,7334.065104142646,5585.38546710962,0.5924889932892528
57,0.02290179276289044,0.016615469624703543,0.043005699999999994,7268.413245778207,5544.535937839523,0.5997521165838215
58,0.022660704276228884,0.016335757313027804,0.042005799999999996,7206.9736991662,5505.331023885815,0.6064900700237417
59,0.022452217596626464,0.016080869324778355,0.0410059,7150.527186047857,5476.925731420207,0.6126300335703256
60,0.02221815606936396,0.015816401786811148,0.04000599999999999,7091.484291241889,5443.321370641033,0.6190007576422037
61,0.022034391042041985,0.015623240685462834,0.039006099999999995,7048.048151091255,5422.221526793494,0.6236537902509275
62,0.021851146797486794,0.015378238354754582,0.0380062,6992.566330661065,5386.380439307018,0.6295556194807321
63,0.021677966138828463,0.01519008675484288,0.03700629999999999,6949.657917533018,5363.872514817024,0.6340879788618994
64,0.021524401488881902,0.015022373419890371,0.036006399999999994,6911.185938691195,5340.415257400806,0.638128003540805
65,0.021380369360201636,0.014840549487513618,0.035006499999999996,6869.233693810144,5317.5981928662595,0.6425079365629811
66,0.021244605092877823,0.014688506549246609,0.0340066,6833.955104222997,5298.894776328143,0.6461704790973954
67,0.021121526388696223,0.014543050622371304,0.0330067,6800.03360068339,5278.5287781072975,0.6496743479724361
68,0.021005886597081115,0.014401888529975157,0.03200679999999999,6766.9508691405,5258.145168769698,0.6530747832280338
69,0.02089801458075534,0.014283946545883922,0.03100689999999999,6739.185471249949,5241.44529391612,0.6559158723193851
70,0.020797801039905806,0.014179130490952789,0.030006999999999992,6714.41376481199,5226.998652098115,0.6584407726130154
71,0.02070254614204222,0.01408202405756426,0.029007099999999994,6691.38227682952,5211.831023247375,0.660779956837581
72,0.02062454272569833,0.01397833142216107,0.028007199999999996,6666.700843758593,5195.646819434558,0.663277795224542
73,0.02052494218221724,0.013889236668064719,0.027007299999999998,6645.420851979688,5181.795260599937,0.6654239871502599
74,0.020419523683012246,0.013795847987436882,0.026007399999999986,6623.0418748446,5167.327060315633,0.6676736149128569
75,0.02032656982299713,0.013687489390886275,0.025007499999999988,6596.980472343502,5150.058615324386,0.6702838510300985
76,0.020240930153899186,0.013610001054589739,0.02400759999999999,6578.2803815320685,5139.2201393686,0.6721504574693178
77,0.020157572364667687,0.013533513847011036,0.023007699999999992,6559.769610995618,5128.0423949128035,0.6739929478492633
78,0.02008972333459517,0.013455516570716395,0.022007799999999994,6540.83943934007,5117.749586778171,0.6758718140778015
79,0.020023696595637706,0.013392788495683388,0.021007899999999996,6525.575307002305,5110.698478181458,0.6773828625061531
80,0.01995420911489718,0.013321075177595275,0.020007999999999998,6508.08086242983,5100.542328755594,0.6791103552840185
81,0.019899649551565524,0.013270272996520742,0.019008099999999986,6495.659172593295,5094.150054373832,0.6803341224063014
82,0.01984425625713274,0.013215784681057328,0.018008199999999988,6482.309726249629,5085.215720621586,0.6816466843397135
83,0.019798929725376006,0.013154765975871289,0.01700829999999999,6467.327650726832,5074.607323321974,0.6831165559804881
84,0.019752514917654965,0.01310426698629938,0.016008399999999992,6454.902209256184,5064.878167904739,0.6843330195621593
85,0.01971466674627334,0.013053095139150242,0.015008499999999994,6442.286762579862,5054.610140800312,0.68556569152236
86,0.019677123290035823,0.013011638344179144,0.014008599999999996,6432.048234641978,5046.457187773897,0.6865643388561513
87,0.019638478459429055,0.012987571671294504,0.013008699999999984,6426.097037619525,5043.103258118898,0.6871440778042833
88,0.01960633716541885,0.012956279821453184,0.012008799999999986,6418.35095018877,5038.045852510611,0.6878978630989551
89,0.019576252519846172,0.012930193548479994,0.011008899999999988,6411.886316095394,5034.137242385374,0.688526251930542
90,0.019550575601713287,0.012908884898763446,0.01000899999999999,6406.600819956752,5031.521491582586,0.6890395532178449
91,0.019519650684321037,0.012888137203962653,0.009009099999999992,6401.450272405723,5028.2900980503655,0.6895393417352538
92,0.01949487349357703,0.012871656335879545,0.008009199999999994,6397.355995427517,5025.764696648962,0.689936347219668
93,0.019473143741282922,0.012858461074681153,0.007009299999999982,6394.076059011676,5023.910089392379,0.690254206147828
94,0.01945253742328184,0.012847839743216516,0.006009399999999984,6391.434699710878,5022.502059811321,0.6905100620179179
95,0.019434374339513373,0.01283946760654268,0.005009499999999986,6389.351910462396,5021.453312884003,0.6907117373276781
96,0.019416564610104922,0.012832752984820752,0.004009599999999988,6387.680980911209,5020.484053442067,0.6908734849756737
