Epoch,Train Loss,Val Loss,Learning Rate,RMSE,MAE,R2
1,0.15455047751900178,0.03305039798131409,0.001,10251.127791023639,8094.681183786923,0.09422119213834468
2,0.03518274328541649,0.015962713502230212,0.001,7124.209140488028,5379.253988612753,0.5625260665707617
3,0.01927695963214588,0.012743688526313468,0.001,6365.475850256522,4814.231323047493,0.650746626178281
4,0.015917738812962285,0.01189672069800106,0.001,6150.3089675738565,4691.138768292468,0.6739586162505258
5,0.01470638075499868,0.011479279349818369,0.001,6041.4420362336905,4618.126615592174,0.6853990087965658
6,0.014054787909085311,0.011190911004095971,0.001,5965.076555539829,4601.863807739742,0.6933020281962456
7,0.013504056059138571,0.010968810055717553,0.001,5905.586821838955,4582.308426829853,0.6993889241047575
8,0.013125094041830213,0.01081699822497616,0.001,5864.576826691326,4567.017142429597,0.7035494773043282
9,0.012704814905950358,0.010629408425436719,0.001,5813.502293321147,4533.775908644254,0.7086905610846173
10,0.01232897978941953,0.01045745136191312,0.001,5766.286642755358,4500.351793529574,0.7134032142904836
11,0.011936401205182367,0.010238282835445015,0.001,5705.541415638655,4448.393579375793,0.7194097442795422
12,0.011624375942698226,0.010052531384771177,0.001,5653.547164274448,4399.640309184307,0.724500446293026
13,0.01126925787001675,0.009809495092256752,0.001,5584.787177464929,4328.995994104807,0.7311610959900519
14,0.010823573510708553,0.00956154070043871,0.001,5513.752145308697,4261.513600708258,0.7379565310571876
15,0.010472361596679181,0.009273353697800187,0.001,5430.023549380748,4176.623764500865,0.7458545805705012
16,0.010073006988099176,0.009020026241235159,0.001,5355.341883022256,4109.8451428694725,0.7527972697851917
17,0.009632846025279548,0.00876529359140061,0.001,5279.180782026471,4039.0837370817,0.7597784697096535
18,0.009267422562845245,0.008494553166303754,0.001,5197.010211869442,3960.6827457974905,0.7671983785295967
19,0.008860133830587683,0.008210570277158689,0.001,5109.400687681475,3883.142118626761,0.7749812101592901
20,0.008417335358722158,0.007866945789518935,0.001,5001.339998059919,3781.3190323527992,0.7843985787169208
21,0.008013741283986702,0.007468412369193395,0.001,4873.011603644208,3665.2927741292174,0.7953207808204956
22,0.007710313460043546,0.007386389142587368,0.001,4846.178347217494,3628.473340191533,0.7975687083781058
23,0.007299991245065183,0.007079900691272987,0.001,4744.570275855779,3544.417133651205,0.8059683271727677
24,0.006996576466088779,0.006931114948503762,0.001,4694.4514447714355,3490.4994998651437,0.8100459474419249
25,0.006649398136741696,0.006809603705126509,0.001,4653.1196475984525,3470.797125018205,0.8133760831101932
26,0.006362780017641729,0.006683050573518435,0.001,4609.678901170629,3430.185398045056,0.8168443967064145
27,0.006068576982317401,0.006532673985972303,0.001,4557.522205671736,3388.664470463037,0.820965615648312
28,0.005838739814911894,0.006529130790022382,0.001,4556.286082112952,3394.136645065167,0.8210627204337174
29,0.005612723399957743,0.006446442963802631,0.001,4527.342732062204,3380.775713291589,0.8233288620003133
30,0.005481563397678803,0.006516202800919774,0.001,4551.7730155497375,3425.8601913817197,0.8214170247469069
31,0.005298336806035595,0.006560644756935453,0.001,4567.26869288833,3457.3638930755615,0.8201990490371536
32,0.005209345959605503,0.00654653771458046,0.001,4562.355660090845,3468.3873521630635,0.8205856664695361
33,0.005045073609446766,0.006561918245994935,0.001,4567.711948444814,3472.439758026303,0.8201641478113719
34,0.004972813333190503,0.006402924976102352,0.001,4512.035493592554,3406.0826668106274,0.8245215154455756
35,0.004937281543691602,0.006501494102091128,0.001,4546.6328684224,3451.144687987919,0.821820131169339
36,0.00484516843849328,0.006583176640719106,0.001,4575.1048861877,3463.4490324038757,0.8195815405023403
37,0.004835115122585866,0.0065539651880403265,0.001,4564.943071239831,3469.6642901151704,0.8203821092216113
38,0.004733620361944122,0.006537260178370378,0.001,4559.121704328625,3461.304254429351,0.8208399265148468
39,0.00469895681969491,0.006450544751315246,0.001,4528.782847559521,3401.871231903374,0.823216448461288
40,0.004732361679234195,0.006410631486423084,0.001,4514.750002327174,3378.7805804234326,0.8243103109168122
41,0.004713970241319771,0.006186622373151575,0.001,4435.168301370971,3304.443097513086,0.8304495019693353
42,0.0046798825226682765,0.006557028204121637,0.001,4566.009666829481,3437.801947024398,0.8202981642398849
43,0.004629013589377726,0.006715256573999358,0.001,4620.772704103269,3493.8215257196252,0.8159617594462492
44,0.00465707908706881,0.006256206749660957,0.001,4460.04095788703,3329.245604073034,0.8285424733872258
45,0.004615438766942629,0.0064858272820392925,0.001,4541.151494324286,3396.6688400982443,0.8222494958504408
46,0.00455005057518284,0.00618216560029018,0.001,4433.570490990017,3299.1490267084864,0.8305716442325416
47,0.004557408057779029,0.006469826730722665,0.001,4535.546519554439,3393.201975507053,0.8226880067665545
48,0.00464324474239501,0.0060866029467824476,0.001,4399.170422264049,3260.5083182427366,0.8331906331602775
49,0.0045706925538842634,0.006441791901055561,0.001,4525.709214576344,3382.000190697675,0.8234563289697797
50,0.004524752086036425,0.006536248018561093,0.001,4558.7687477183645,3425.680993805601,0.8208676657543541
50,0.004524752086036425,0.006536248018561093,0.001,4558.7687477183645,3425.680993805601,0.8208676657543541
