Epoch,Train Loss,Val Loss,Learning Rate,RMSE,MAE,R2
1,0.11078027003195604,0.059011132248955996,0.09900010000000001,12886.51603870046,10250.940614561629,0.032071137079885625
2,0.04914659752628677,0.058493700776946767,0.09800020000000001,12829.894772729871,9913.751145311855,0.04055829598115923
3,0.04802312773763974,0.05824781617351444,0.09700030000000001,12802.90044867718,9874.800422240294,0.04459141304804959
4,0.04772016404996946,0.057935207241990604,0.0960004,12768.498425417616,9837.439781197045,0.0497189745114025
5,0.047551413593586965,0.057789670283044575,0.0950005,12752.450697078042,9820.595468666137,0.052106141437655684
6,0.0472838663107752,0.057273982362188204,0.0940006,12695.424748499596,9766.648551649661,0.06056470177759865
7,0.046889333443148315,0.056800962963933964,0.0930007,12642.891011317204,9715.405286455287,0.06832339256766606
8,0.04660246233472651,0.056424305857173646,0.09200080000000001,12600.902678238386,9673.441767590215,0.0745015028862277
9,0.04634091548346578,0.05606411910757162,0.09100090000000001,12560.619111368542,9632.326543184847,0.08040945851585912
10,0.046067629104394894,0.05575855371276552,0.090001,12526.34287042739,9597.890837230065,0.08542148851546383
11,0.04577649896610798,0.05529814706203822,0.0890011,12474.519735061012,9555.362410427084,0.09297329897792472
12,0.045480975908435105,0.054873591775747806,0.0880012,12426.540479634701,9515.868755336698,0.09993705818478349
13,0.04516647622780879,0.05448563798973506,0.0870013,12382.53502590053,9476.692239440707,0.10630046204859422
14,0.0448741138094463,0.054074420701738166,0.0860014,12335.719419217066,9440.430020650776,0.1130454450173114
15,0.04457168652872634,0.053709932064045604,0.08500150000000001,12294.07466500555,9399.790631755108,0.11902396227640522
16,0.044293557271106496,0.05327456313380189,0.08400160000000001,12244.145827111719,9361.280174521253,0.12616509205211857
17,0.04398324832700887,0.05290599625865191,0.0830017,12201.718272891583,9320.432347160913,0.13221050251584088
18,0.04369908644142157,0.052476308032603995,0.0820018,12152.067723554499,9286.221308006978,0.13925845465975273
19,0.043390822590880056,0.05208685162389312,0.0810019,12106.89005594321,9246.058310746237,0.14564650526095357
20,0.04309872143944378,0.05166788642287487,0.080002,12058.100325879697,9209.873516782272,0.15251857321101137
21,0.042782137313528965,0.051269859393184625,0.0790021,12011.565338815477,9169.22549057112,0.15904720324363342
22,0.04248260087491301,0.05086302230588512,0.0780022,11963.813274381144,9128.558719382652,0.1657203400619921
