L,M_list,lambda_reg,scheduler_type,Avg Val Loss,RMSECV,MAECV,R2CV
2,"[4, 9]",0,linear,0.0027590240532575604,3222.316800053107,3222.316800053107,0.8523720581975566
3,"[5, 5, 5]",0,linear,0.0026844522945345,3070.7004004585715,3070.7004004585715,0.8561741209485392
2,"[9, 9]",0,linear,0.0026017860678549803,2975.250735618875,2975.250735618875,0.8606917527981555
2,"[8, 7]",0,linear,0.00262216253574556,3072.6306188585204,3072.6306188585204,0.8596736358226403
2,"[4, 4]",0,linear,0.00290467982819602,3250.18475357386,3250.18475357386,0.8442910782497306
