Epoch,Train Loss,Val Loss,RMSE,MAE,R2
0,0.24892593905483743,0.2866187730112267,13140.128650008257,10226.385620527526,-0.17672650612528984
1,0.24710169624479492,0.2846273918526605,13140.128650008257,10226.385620527526,-0.17672650612528984
2,0.24529561275757075,0.28265513716597784,13140.128650008257,10226.385620527526,-0.17672650612528984
3,0.24350749230261076,0.2807018059920294,13140.128650008257,10226.385620527526,-0.17672650612528984
4,0.24173714087225812,0.27876719771261765,13140.128650008257,10226.385620527526,-0.17672650612528984
5,0.2399843667131931,0.27685111402124435,13140.128650008257,10226.385620527526,-0.17672650612528984
6,0.23824898029826033,0.2749533588942556,13140.128650008257,10226.385620527526,-0.17672650612528984
7,0.2365307942986789,0.2730737385623806,13140.128650008257,10226.385620527526,-0.17672650612528984
8,0.23482962355662634,0.27121206148265775,13140.128650008257,10226.385620527526,-0.17672650612528984
9,0.23314560942989712,0.26936848167490063,13140.128650008257,10226.385620527526,-0.17672650612528984
10,0.2314784582660476,0.2675424618691797,13140.128650008257,10226.385620527526,-0.17672650612528984
11,0.22982777028965842,0.26573381674924546,13140.128650008257,10226.385620527526,-0.17672650612528984
12,0.22819336851053293,0.2639423635341818,13140.128650008257,10226.385620527526,-0.17672650612528984
13,0.22657515244087528,0.2621680172902774,13140.128650008257,10226.385620527526,-0.17672650612528984
14,0.22497332282861948,0.2604109572401616,13140.128650008257,10226.385620527526,-0.17672650612528984
15,0.22338757414244098,0.2586705425254185,13140.128650008257,10226.385620527526,-0.17672650612528984
16,0.22181741148703396,0.2569465989268852,13140.128650008257,10226.385620527526,-0.17672650612528984
17,0.22026266849733867,0.25523895385929246,13140.128650008257,10226.385620527526,-0.17672650612528984
18,0.21872321085775687,0.25354749644504787,13140.128650008257,10226.385620527526,-0.17672650612528984
19,0.217198893816015,0.25187200566150025,13140.128650008257,10226.385620527526,-0.17672650612528984
20,0.21568951006489773,0.2502123062548462,13140.128650008257,10226.385620527526,-0.17672650612528984
21,0.21419489720108967,0.24856823354362906,13140.128650008257,10226.385620527526,-0.17672650612528984
22,0.2127148981601874,0.24693962471162811,13140.128650008257,10226.385620527526,-0.17672650612528984
23,0.211249357672525,0.24532631878504874,13140.128650008257,10226.385620527526,-0.17672650612528984
24,0.2097981222411925,0.24372837143660547,13140.128650008257,10226.385620527526,-0.17672650612528984
