,Año,Kilómetros,Precio,Corolla Cross,Hilux SW4,RAV4,Diésel,Eléctrico,Híbrido,Nafta,Automática,Manual,1,1.8,2.0,2.4,2.5,2.7,2.8,3.0
64,2009,259000,19000.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
65,2022,74000,19138.75598086124,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
66,2024,1111111,36500.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
67,2022,39112,34000.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
68,2022,16000,50000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
69,2019,52000,42000.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
70,2024,0,29747.36842105263,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
71,2022,31421,33400.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
72,2009,220000,10047.846889952154,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
73,2007,210000,16500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
74,2017,118000,35000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
75,2016,170000,32000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
76,2023,10000,53900.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
77,2023,0,56459.33014354067,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
78,2009,200000,22500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
79,2024,1600,38900.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,2023,0,1387.5598086124403,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
81,2024,0,30622.00956937799,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
82,2011,190000,20095.693779904308,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
83,2006,300000,16800.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
84,2023,4000,54500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
85,2018,182000,39000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
86,2020,123000,41500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
87,2021,31000,49500.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
88,2014,60000,23500.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
89,2012,128000,13800.0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
90,2022,18000,52000.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
91,2024,0,62000.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
92,2015,175000,26500.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
